,match_id,champion,win
0,EUW1_6962567111,897,False
1,EUW1_6962567111,79,False
2,EUW1_6962567111,166,False
3,EUW1_6962567111,42,False
4,EUW1_6962567111,89,False
5,EUW1_6962567111,164,True
6,EUW1_6962567111,234,True
7,EUW1_6962567111,202,True
8,EUW1_6962567111,55,True
9,EUW1_6962567111,526,True
10,EUW1_6963088568,897,False
11,EUW1_6963088568,421,False
12,EUW1_6963088568,910,False
13,EUW1_6963088568,110,False
14,EUW1_6963088568,412,False
15,EUW1_6963088568,80,True
16,EUW1_6963088568,200,True
17,EUW1_6963088568,7,True
18,EUW1_6963088568,202,True
19,EUW1_6963088568,111,True
20,EUW1_6963022588,68,True
21,EUW1_6963022588,163,True
22,EUW1_6963022588,23,True
23,EUW1_6963022588,42,True
24,EUW1_6963022588,555,True
25,EUW1_6963022588,516,False
26,EUW1_6963022588,245,False
27,EUW1_6963022588,166,False
28,EUW1_6963022588,222,False
29,EUW1_6963022588,57,False
30,EUW1_6962943270,54,False
31,EUW1_6962943270,68,False
32,EUW1_6962943270,18,False
33,EUW1_6962943270,51,False
34,EUW1_6962943270,164,False
35,EUW1_6962943270,517,True
36,EUW1_6962943270,63,True
37,EUW1_6962943270,166,True
38,EUW1_6962943270,202,True
39,EUW1_6962943270,80,True
40,EUW1_6963150834,164,False
41,EUW1_6963150834,30,False
42,EUW1_6963150834,18,False
43,EUW1_6963150834,221,False
44,EUW1_6963150834,117,False
45,EUW1_6963150834,106,True
46,EUW1_6963150834,200,True
47,EUW1_6963150834,4,True
48,EUW1_6963150834,901,True
49,EUW1_6963150834,37,True
50,EUW1_6962876558,897,False
51,EUW1_6962876558,77,False
52,EUW1_6962876558,910,False
53,EUW1_6962876558,202,False
54,EUW1_6962876558,161,False
55,EUW1_6962876558,4,True
56,EUW1_6962876558,63,True
57,EUW1_6962876558,166,True
58,EUW1_6962876558,523,True
59,EUW1_6962876558,526,True
60,EUW1_6962695658,266,True
61,EUW1_6962695658,203,True
62,EUW1_6962695658,4,True
63,EUW1_6962695658,202,True
64,EUW1_6962695658,147,True
65,EUW1_6962695658,24,False
66,EUW1_6962695658,64,False
67,EUW1_6962695658,910,False
68,EUW1_6962695658,22,False
69,EUW1_6962695658,68,False
70,EUW1_6963253801,122,False
71,EUW1_6963253801,77,False
72,EUW1_6963253801,910,False
73,EUW1_6963253801,202,False
74,EUW1_6963253801,111,False
75,EUW1_6963253801,887,True
76,EUW1_6963253801,76,True
77,EUW1_6963253801,39,True
78,EUW1_6963253801,42,True
79,EUW1_6963253801,555,True
80,EUW1_6963193448,897,True
81,EUW1_6963193448,121,True
82,EUW1_6963193448,103,True
83,EUW1_6963193448,202,True
84,EUW1_6963193448,147,True
85,EUW1_6963193448,875,False
86,EUW1_6963193448,163,False
87,EUW1_6963193448,7,False
88,EUW1_6963193448,81,False
89,EUW1_6963193448,555,False
90,EUW1_6963147405,266,False
91,EUW1_6963147405,163,False
92,EUW1_6963147405,18,False
93,EUW1_6963147405,222,False
94,EUW1_6963147405,497,False
95,EUW1_6963147405,98,True
96,EUW1_6963147405,245,True
97,EUW1_6963147405,157,True
98,EUW1_6963147405,221,True
99,EUW1_6963147405,147,True
100,EUW1_6962460270,72,True
101,EUW1_6962460270,876,True
102,EUW1_6962460270,18,True
103,EUW1_6962460270,202,True
104,EUW1_6962460270,43,True
105,EUW1_6962460270,106,False
106,EUW1_6962460270,421,False
107,EUW1_6962460270,910,False
108,EUW1_6962460270,42,False
109,EUW1_6962460270,267,False
110,EUW1_6962440026,240,False
111,EUW1_6962440026,35,False
112,EUW1_6962440026,134,False
113,EUW1_6962440026,119,False
114,EUW1_6962440026,555,False
115,EUW1_6962440026,77,True
116,EUW1_6962440026,163,True
117,EUW1_6962440026,18,True
118,EUW1_6962440026,96,True
119,EUW1_6962440026,111,True
120,EUW1_6962423588,24,False
121,EUW1_6962423588,131,False
122,EUW1_6962423588,161,False
123,EUW1_6962423588,222,False
124,EUW1_6962423588,412,False
125,EUW1_6962423588,420,True
126,EUW1_6962423588,163,True
127,EUW1_6962423588,18,True
128,EUW1_6962423588,523,True
129,EUW1_6962423588,12,True
130,EUW1_6963270847,164,True
131,EUW1_6963270847,72,True
132,EUW1_6963270847,154,True
133,EUW1_6963270847,145,True
134,EUW1_6963270847,497,True
135,EUW1_6963270847,126,False
136,EUW1_6963270847,234,False
137,EUW1_6963270847,1,False
138,EUW1_6963270847,96,False
139,EUW1_6963270847,201,False
140,EUW1_6963242895,67,False
141,EUW1_6963242895,51,False
142,EUW1_6963242895,3,False
143,EUW1_6963242895,63,False
144,EUW1_6963242895,555,False
145,EUW1_6963242895,166,True
146,EUW1_6963242895,121,True
147,EUW1_6963242895,7,True
148,EUW1_6963242895,202,True
149,EUW1_6963242895,40,True
150,EUW1_6963197405,126,True
151,EUW1_6963197405,234,True
152,EUW1_6963197405,131,True
153,EUW1_6963197405,81,True
154,EUW1_6963197405,555,True
155,EUW1_6963197405,54,False
156,EUW1_6963197405,104,False
157,EUW1_6963197405,84,False
158,EUW1_6963197405,119,False
159,EUW1_6963197405,497,False
160,EUW1_6963186698,72,True
161,EUW1_6963186698,876,True
162,EUW1_6963186698,23,True
163,EUW1_6963186698,222,True
164,EUW1_6963186698,111,True
165,EUW1_6963186698,526,False
166,EUW1_6963186698,163,False
167,EUW1_6963186698,18,False
168,EUW1_6963186698,119,False
169,EUW1_6963186698,516,False
170,EUW1_6962900494,85,False
171,EUW1_6962900494,120,False
172,EUW1_6962900494,711,False
173,EUW1_6962900494,166,False
174,EUW1_6962900494,202,False
175,EUW1_6962900494,150,True
176,EUW1_6962900494,234,True
177,EUW1_6962900494,134,True
178,EUW1_6962900494,145,True
179,EUW1_6962900494,80,True
180,EUW1_6962854870,23,False
181,EUW1_6962854870,163,False
182,EUW1_6962854870,39,False
183,EUW1_6962854870,42,False
184,EUW1_6962854870,111,False
185,EUW1_6962854870,897,True
186,EUW1_6962854870,18,True
187,EUW1_6962854870,30,True
188,EUW1_6962854870,202,True
189,EUW1_6962854870,161,True
190,EUW1_6963134882,92,False
191,EUW1_6963134882,131,False
192,EUW1_6963134882,4,False
193,EUW1_6963134882,51,False
194,EUW1_6963134882,40,False
195,EUW1_6963134882,126,True
196,EUW1_6963134882,11,True
197,EUW1_6963134882,84,True
198,EUW1_6963134882,202,True
199,EUW1_6963134882,53,True
200,EUW1_6963080620,80,True
201,EUW1_6963080620,163,True
202,EUW1_6963080620,18,True
203,EUW1_6963080620,202,True
204,EUW1_6963080620,12,True
205,EUW1_6963080620,164,False
206,EUW1_6963080620,33,False
207,EUW1_6963080620,69,False
208,EUW1_6963080620,81,False
209,EUW1_6963080620,89,False
210,EUW1_6962805795,897,False
211,EUW1_6962805795,64,False
212,EUW1_6962805795,910,False
213,EUW1_6962805795,236,False
214,EUW1_6962805795,902,False
215,EUW1_6962805795,68,True
216,EUW1_6962805795,78,True
217,EUW1_6962805795,238,True
218,EUW1_6962805795,222,True
219,EUW1_6962805795,526,True
220,EUW1_6963247043,84,False
221,EUW1_6963247043,876,False
222,EUW1_6963247043,18,False
223,EUW1_6963247043,145,False
